DISTRICT ID,DISTRICT,STATE
1,AGRA,Uttar Pradesh
2,ALIGARH,Uttar Pradesh
3,AMBEDKAR NAGAR,Uttar Pradesh
4,AMETHI,Uttar Pradesh
5,AMROHA,Uttar Pradesh
6,AURAIYA,Uttar Pradesh
7,AYODHYA,Uttar Pradesh
8,AZAMGARH,Uttar Pradesh
9,BAGPAT,Uttar Pradesh
10,BAHRAICH,Uttar Pradesh
11,BALLIA,Uttar Pradesh
12,BALRAMPUR,Uttar Pradesh
13,BANDA,Uttar Pradesh
14,BARABANKI,Uttar Pradesh
15,BAREILLY,Uttar Pradesh
16,BASTI,Uttar Pradesh
17,BHADOI,Uttar Pradesh
18,BIJNOR,Uttar Pradesh
19,BUDAUN,Uttar Pradesh
20,BULANDSHAHR,Uttar Pradesh
21,CHANDAULI,Uttar Pradesh
22,CHITRAKOOT,Uttar Pradesh
23,DEORIA,Uttar Pradesh
24,ETAH,Uttar Pradesh
25,ETAWAH,Uttar Pradesh
26,FATEHGARH,Uttar Pradesh
27,FATEHPUR,Uttar Pradesh
28,FIROZABAD,Uttar Pradesh
29,GAUTAMBUDH NAGAR (COMMISSIONERATE),Uttar Pradesh
30,GHAZIABAD,Uttar Pradesh
31,GHAZIPUR,Uttar Pradesh
32,GONDA,Uttar Pradesh
33,GORAKHPUR,Uttar Pradesh
34,HAMIRPUR,Uttar Pradesh
35,HAPUR,Uttar Pradesh
36,HARDOI,Uttar Pradesh
37,HATHRAS,Uttar Pradesh
38,JALAUN,Uttar Pradesh
39,JAUNPUR,Uttar Pradesh
40,JHANSI,Uttar Pradesh
41,KANNAUJ,Uttar Pradesh
42,KANPUR DEHAT,Uttar Pradesh
43,KANPUR NAGAR (COMMISSIONERATE),Uttar Pradesh
44,KANPUR OUTER,Uttar Pradesh
45,KASGANJ,Uttar Pradesh
46,KAUSHAMBI,Uttar Pradesh
47,KHERI,Uttar Pradesh
48,KUSHINAGAR,Uttar Pradesh
49,LALITPUR,Uttar Pradesh
50,LUCKNOW CITY (COMMISSIONERATE),Uttar Pradesh
51,LUCKNOW RURAL,Uttar Pradesh
52,MAHARAJGANJ,Uttar Pradesh
53,MAHOBA,Uttar Pradesh
54,MAINPURI,Uttar Pradesh
55,MATHURA,Uttar Pradesh
56,MAU,Uttar Pradesh
57,MEERUT,Uttar Pradesh
58,MIRZAPUR,Uttar Pradesh
59,MORADABAD,Uttar Pradesh
60,MUZAFFAR NAGAR,Uttar Pradesh
61,PILIBHIT,Uttar Pradesh
62,PRATAPGARH,Uttar Pradesh
63,PRAYAGRAJ,Uttar Pradesh
64,RAEBARELI,Uttar Pradesh
65,RAMPUR,Uttar Pradesh
66,SAHARANPUR,Uttar Pradesh
67,SAMBHAL,Uttar Pradesh
68,SANT KABIR NAGAR,Uttar Pradesh
69,SHAHJAHANPUR,Uttar Pradesh
70,SHAMLI,Uttar Pradesh
71,SHRAVASTI,Uttar Pradesh
72,SIDHARTH NAGAR,Uttar Pradesh
73,SITAPUR,Uttar Pradesh
74,SONBHADRA,Uttar Pradesh
75,SULTANPUR,Uttar Pradesh
76,UNNAO,Uttar Pradesh
77,VARANASI NAGAR (COMMISSIONERATE),Uttar Pradesh
78,VARANASI RURAL,Uttar Pradesh